x3/4 : ['a', 'b', 'c', 'e', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p', 'q', 'r', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']
pc/b : ['v', 'w', 'x', 'y', 'z', 'a', 'c', 'g', 'l', 'd', 'i', 'b', 'm', 'f', 'j', 'k', 'p', 'e', 'r', 'o', 'h', 'q', 'n', 's', 't', 'u']
x2/14 : ['v', 'w', 'j', 'y', 'z', 'a', 'c', 'g', 'l', 'd', 'i', 'b', 'm', 'f', 'x', 'k', 'p', 'e', 'r', 'o', 'h', 'q', 'n', 's', 't', 'u']
pe/d : ['v', 'w', 'j', 'y', 'z', 'a', 'c', 'g', 'l', 'e', 'i', 'b', 'm', 'f', 'x', 'k', 'p', 'd', 'r', 'o', 'h', 'q', 'n', 's', 't', 'u']
x10/11 : ['v', 'w', 'j', 'y', 'z', 'a', 'c', 'g', 'l', 'e', 'b', 'i', 'm', 'f', 'x', 'k', 'p', 'd', 'r', 'o', 'h', 'q', 'n', 's', 't', 'u']
pg/o : ['v', 'w', 'j', 'y', 'z', 'a', 'c', 'o', 'l', 'e', 'b', 'i', 'm', 'f', 'x', 'k', 'p', 'd', 'r', 'g', 'h', 'q', 'n', 's', 't', 'u']
x9/14 : ['v', 'w', 'j', 'y', 'z', 'a', 'c', 'o', 'l', 'x', 'b', 'i', 'm', 'f', 'e', 'k', 'p', 'd', 'r', 'g', 'h', 'q', 'n', 's', 't', 'u']
ph/n : ['v', 'w', 'j', 'y', 'z', 'a', 'c', 'o', 'l', 'x', 'b', 'i', 'm', 'f', 'e', 'k', 'p', 'd', 'r', 'g', 'n', 'q', 'h', 's', 't', 'u']
x15/8 : ['v', 'w', 'j', 'y', 'z', 'a', 'c', 'o', 'k', 'x', 'b', 'i', 'm', 'f', 'e', 'l', 'p', 'd', 'r', 'g', 'n', 'q', 'h', 's', 't', 'u']
s13 : ['f', 'e', 'l', 'p', 'd', 'r', 'g', 'n', 'q', 'h', 's', 't', 'u', 'v', 'w', 'j', 'y', 'z', 'a', 'c', 'o', 'k', 'x', 'b', 'i', 'm']
pe/i : ['f', 'i', 'l', 'p', 'd', 'r', 'g', 'n', 'q', 'h', 's', 't', 'u', 'v', 'w', 'j', 'y', 'z', 'a', 'c', 'o', 'k', 'x', 'b', 'e', 'm']
x3/7 : ['f', 'i', 'l', 'n', 'd', 'r', 'g', 'p', 'q', 'h', 's', 't', 'u', 'v', 'w', 'j', 'y', 'z', 'a', 'c', 'o', 'k', 'x', 'b', 'e', 'm']
s2 : ['e', 'm', 'f', 'i', 'l', 'n', 'd', 'r', 'g', 'p', 'q', 'h', 's', 't', 'u', 'v', 'w', 'j', 'y', 'z', 'a', 'c', 'o', 'k', 'x', 'b']
pd/b : ['e', 'm', 'f', 'i', 'l', 'n', 'b', 'r', 'g', 'p', 'q', 'h', 's', 't', 'u', 'v', 'w', 'j', 'y', 'z', 'a', 'c', 'o', 'k', 'x', 'd']
x4/15 : ['e', 'm', 'f', 'i', 'v', 'n', 'b', 'r', 'g', 'p', 'q', 'h', 's', 't', 'u', 'l', 'w', 'j', 'y', 'z', 'a', 'c', 'o', 'k', 'x', 'd']
s11 : ['l', 'w', 'j', 'y', 'z', 'a', 'c', 'o', 'k', 'x', 'd', 'e', 'm', 'f', 'i', 'v', 'n', 'b', 'r', 'g', 'p', 'q', 'h', 's', 't', 'u']
x0/14 : ['i', 'w', 'j', 'y', 'z', 'a', 'c', 'o', 'k', 'x', 'd', 'e', 'm', 'f', 'l', 'v', 'n', 'b', 'r', 'g', 'p', 'q', 'h', 's', 't', 'u']
s10 : ['n', 'b', 'r', 'g', 'p', 'q', 'h', 's', 't', 'u', 'i', 'w', 'j', 'y', 'z', 'a', 'c', 'o', 'k', 'x', 'd', 'e', 'm', 'f', 'l', 'v']
x7/3 : ['n', 'b', 'r', 's', 'p', 'q', 'h', 'g', 't', 'u', 'i', 'w', 'j', 'y', 'z', 'a', 'c', 'o', 'k', 'x', 'd', 'e', 'm', 'f', 'l', 'v']
s8 : ['k', 'x', 'd', 'e', 'm', 'f', 'l', 'v', 'n', 'b', 'r', 's', 'p', 'q', 'h', 'g', 't', 'u', 'i', 'w', 'j', 'y', 'z', 'a', 'c', 'o']
x2/1 : ['k', 'd', 'x', 'e', 'm', 'f', 'l', 'v', 'n', 'b', 'r', 's', 'p', 'q', 'h', 'g', 't', 'u', 'i', 'w', 'j', 'y', 'z', 'a', 'c', 'o']
pj/i : ['k', 'd', 'x', 'e', 'm', 'f', 'l', 'v', 'n', 'b', 'r', 's', 'p', 'q', 'h', 'g', 't', 'u', 'j', 'w', 'i', 'y', 'z', 'a', 'c', 'o']
s8 : ['j', 'w', 'i', 'y', 'z', 'a', 'c', 'o', 'k', 'd', 'x', 'e', 'm', 'f', 'l', 'v', 'n', 'b', 'r', 's', 'p', 'q', 'h', 'g', 't', 'u']
x10/14 : ['j', 'w', 'i', 'y', 'z', 'a', 'c', 'o', 'k', 'd', 'l', 'e', 'm', 'f', 'x', 'v', 'n', 'b', 'r', 's', 'p', 'q', 'h', 'g', 't', 'u']
s5 : ['q', 'h', 'g', 't', 'u', 'j', 'w', 'i', 'y', 'z', 'a', 'c', 'o', 'k', 'd', 'l', 'e', 'm', 'f', 'x', 'v', 'n', 'b', 'r', 's', 'p']
x4/1 : ['q', 'u', 'g', 't', 'h', 'j', 'w', 'i', 'y', 'z', 'a', 'c', 'o', 'k', 'd', 'l', 'e', 'm', 'f', 'x', 'v', 'n', 'b', 'r', 's', 'p']
pa/h : ['q', 'u', 'g', 't', 'a', 'j', 'w', 'i', 'y', 'z', 'h', 'c', 'o', 'k', 'd', 'l', 'e', 'm', 'f', 'x', 'v', 'n', 'b', 'r', 's', 'p']
s11 : ['l', 'e', 'm', 'f', 'x', 'v', 'n', 'b', 'r', 's', 'p', 'q', 'u', 'g', 't', 'a', 'j', 'w', 'i', 'y', 'z', 'h', 'c', 'o', 'k', 'd']
x12/6 : ['l', 'e', 'm', 'f', 'x', 'v', 'u', 'b', 'r', 's', 'p', 'q', 'n', 'g', 't', 'a', 'j', 'w', 'i', 'y', 'z', 'h', 'c', 'o', 'k', 'd']
s1 : ['d', 'l', 'e', 'm', 'f', 'x', 'v', 'u', 'b', 'r', 's', 'p', 'q', 'n', 'g', 't', 'a', 'j', 'w', 'i', 'y', 'z', 'h', 'c', 'o', 'k']
x1/14 : ['d', 'g', 'e', 'm', 'f', 'x', 'v', 'u', 'b', 'r', 's', 'p', 'q', 'n', 'l', 't', 'a', 'j', 'w', 'i', 'y', 'z', 'h', 'c', 'o', 'k']
s11 : ['t', 'a', 'j', 'w', 'i', 'y', 'z', 'h', 'c', 'o', 'k', 'd', 'g', 'e', 'm', 'f', 'x', 'v', 'u', 'b', 'r', 's', 'p', 'q', 'n', 'l']
x5/12 : ['t', 'a', 'j', 'w', 'i', 'g', 'z', 'h', 'c', 'o', 'k', 'd', 'y', 'e', 'm', 'f', 'x', 'v', 'u', 'b', 'r', 's', 'p', 'q', 'n', 'l']
s4 : ['p', 'q', 'n', 'l', 't', 'a', 'j', 'w', 'i', 'g', 'z', 'h', 'c', 'o', 'k', 'd', 'y', 'e', 'm', 'f', 'x', 'v', 'u', 'b', 'r', 's']
pn/b : ['p', 'q', 'b', 'l', 't', 'a', 'j', 'w', 'i', 'g', 'z', 'h', 'c', 'o', 'k', 'd', 'y', 'e', 'm', 'f', 'x', 'v', 'u', 'n', 'r', 's']
x7/9 : ['p', 'q', 'b', 'l', 't', 'a', 'j', 'g', 'i', 'w', 'z', 'h', 'c', 'o', 'k', 'd', 'y', 'e', 'm', 'f', 'x', 'v', 'u', 'n', 'r', 's']
pj/l : ['p', 'q', 'b', 'j', 't', 'a', 'l', 'g', 'i', 'w', 'z', 'h', 'c', 'o', 'k', 'd', 'y', 'e', 'm', 'f', 'x', 'v', 'u', 'n', 'r', 's']
x1/8 : ['p', 'i', 'b', 'j', 't', 'a', 'l', 'g', 'q', 'w', 'z', 'h', 'c', 'o', 'k', 'd', 'y', 'e', 'm', 'f', 'x', 'v', 'u', 'n', 'r', 's']
pd/e : ['p', 'i', 'b', 'j', 't', 'a', 'l', 'g', 'q', 'w', 'z', 'h', 'c', 'o', 'k', 'e', 'y', 'd', 'm', 'f', 'x', 'v', 'u', 'n', 'r', 's']
s6 : ['x', 'v', 'u', 'n', 'r', 's', 'p', 'i', 'b', 'j', 't', 'a', 'l', 'g', 'q', 'w', 'z', 'h', 'c', 'o', 'k', 'e', 'y', 'd', 'm', 'f']
pp/g : ['x', 'v', 'u', 'n', 'r', 's', 'g', 'i', 'b', 'j', 't', 'a', 'l', 'p', 'q', 'w', 'z', 'h', 'c', 'o', 'k', 'e', 'y', 'd', 'm', 'f']
x10/2 : ['x', 'v', 't', 'n', 'r', 's', 'g', 'i', 'b', 'j', 'u', 'a', 'l', 'p', 'q', 'w', 'z', 'h', 'c', 'o', 'k', 'e', 'y', 'd', 'm', 'f']
pi/o : ['x', 'v', 't', 'n', 'r', 's', 'g', 'o', 'b', 'j', 'u', 'a', 'l', 'p', 'q', 'w', 'z', 'h', 'c', 'i', 'k', 'e', 'y', 'd', 'm', 'f']
x15/5 : ['x', 'v', 't', 'n', 'r', 'w', 'g', 'o', 'b', 'j', 'u', 'a', 'l', 'p', 'q', 's', 'z', 'h', 'c', 'i', 'k', 'e', 'y', 'd', 'm', 'f']
pp/l : ['x', 'v', 't', 'n', 'r', 'w', 'g', 'o', 'b', 'j', 'u', 'a', 'p', 'l', 'q', 's', 'z', 'h', 'c', 'i', 'k', 'e', 'y', 'd', 'm', 'f']
x6/13 : ['x', 'v', 't', 'n', 'r', 'w', 'l', 'o', 'b', 'j', 'u', 'a', 'p', 'g', 'q', 's', 'z', 'h', 'c', 'i', 'k', 'e', 'y', 'd', 'm', 'f']
s3 : ['d', 'm', 'f', 'x', 'v', 't', 'n', 'r', 'w', 'l', 'o', 'b', 'j', 'u', 'a', 'p', 'g', 'q', 's', 'z', 'h', 'c', 'i', 'k', 'e', 'y']
x5/12 : ['d', 'm', 'f', 'x', 'v', 'j', 'n', 'r', 'w', 'l', 'o', 'b', 't', 'u', 'a', 'p', 'g', 'q', 's', 'z', 'h', 'c', 'i', 'k', 'e', 'y']
pk/f : ['d', 'm', 'k', 'x', 'v', 'j', 'n', 'r', 'w', 'l', 'o', 'b', 't', 'u', 'a', 'p', 'g', 'q', 's', 'z', 'h', 'c', 'i', 'f', 'e', 'y']
x1/8 : ['d', 'w', 'k', 'x', 'v', 'j', 'n', 'r', 'm', 'l', 'o', 'b', 't', 'u', 'a', 'p', 'g', 'q', 's', 'z', 'h', 'c', 'i', 'f', 'e', 'y']
s4 : ['i', 'f', 'e', 'y', 'd', 'w', 'k', 'x', 'v', 'j', 'n', 'r', 'm', 'l', 'o', 'b', 't', 'u', 'a', 'p', 'g', 'q', 's', 'z', 'h', 'c']
x11/10 : ['i', 'f', 'e', 'y', 'd', 'w', 'k', 'x', 'v', 'j', 'r', 'n', 'm', 'l', 'o', 'b', 't', 'u', 'a', 'p', 'g', 'q', 's', 'z', 'h', 'c']
s10 : ['t', 'u', 'a', 'p', 'g', 'q', 's', 'z', 'h', 'c', 'i', 'f', 'e', 'y', 'd', 'w', 'k', 'x', 'v', 'j', 'r', 'n', 'm', 'l', 'o', 'b']
x4/15 : ['t', 'u', 'a', 'p', 'w', 'q', 's', 'z', 'h', 'c', 'i', 'f', 'e', 'y', 'd', 'g', 'k', 'x', 'v', 'j', 'r', 'n', 'm', 'l', 'o', 'b']
pe/n : ['t', 'u', 'a', 'p', 'w', 'q', 's', 'z', 'h', 'c', 'i', 'f', 'n', 'y', 'd', 'g', 'k', 'x', 'v', 'j', 'r', 'e', 'm', 'l', 'o', 'b']
x1/5 : ['t', 'q', 'a', 'p', 'w', 'u', 's', 'z', 'h', 'c', 'i', 'f', 'n', 'y', 'd', 'g', 'k', 'x', 'v', 'j', 'r', 'e', 'm', 'l', 'o', 'b']
s14 : ['n', 'y', 'd', 'g', 'k', 'x', 'v', 'j', 'r', 'e', 'm', 'l', 'o', 'b', 't', 'q', 'a', 'p', 'w', 'u', 's', 'z', 'h', 'c', 'i', 'f']
x7/2 : ['n', 'y', 'j', 'g', 'k', 'x', 'v', 'd', 'r', 'e', 'm', 'l', 'o', 'b', 't', 'q', 'a', 'p', 'w', 'u', 's', 'z', 'h', 'c', 'i', 'f']
pc/i : ['n', 'y', 'j', 'g', 'k', 'x', 'v', 'd', 'r', 'e', 'm', 'l', 'o', 'b', 't', 'q', 'a', 'p', 'w', 'u', 's', 'z', 'h', 'i', 'c', 'f']
x4/10 : ['n', 'y', 'j', 'g', 'm', 'x', 'v', 'd', 'r', 'e', 'k', 'l', 'o', 'b', 't', 'q', 'a', 'p', 'w', 'u', 's', 'z', 'h', 'i', 'c', 'f']
pj/p : ['n', 'y', 'p', 'g', 'm', 'x', 'v', 'd', 'r', 'e', 'k', 'l', 'o', 'b', 't', 'q', 'a', 'j', 'w', 'u', 's', 'z', 'h', 'i', 'c', 'f']
x6/15 : ['n', 'y', 'p', 'g', 'm', 'x', 'q', 'd', 'r', 'e', 'k', 'l', 'o', 'b', 't', 'v', 'a', 'j', 'w', 'u', 's', 'z', 'h', 'i', 'c', 'f']
s12 : ['t', 'v', 'a', 'j', 'w', 'u', 's', 'z', 'h', 'i', 'c', 'f', 'n', 'y', 'p', 'g', 'm', 'x', 'q', 'd', 'r', 'e', 'k', 'l', 'o', 'b']
x5/0 : ['u', 'v', 'a', 'j', 'w', 't', 's', 'z', 'h', 'i', 'c', 'f', 'n', 'y', 'p', 'g', 'm', 'x', 'q', 'd', 'r', 'e', 'k', 'l', 'o', 'b']
pa/n : ['u', 'v', 'n', 'j', 'w', 't', 's', 'z', 'h', 'i', 'c', 'f', 'a', 'y', 'p', 'g', 'm', 'x', 'q', 'd', 'r', 'e', 'k', 'l', 'o', 'b']
x8/12 : ['u', 'v', 'n', 'j', 'w', 't', 's', 'z', 'a', 'i', 'c', 'f', 'h', 'y', 'p', 'g', 'm', 'x', 'q', 'd', 'r', 'e', 'k', 'l', 'o', 'b']
s14 : ['h', 'y', 'p', 'g', 'm', 'x', 'q', 'd', 'r', 'e', 'k', 'l', 'o', 'b', 'u', 'v', 'n', 'j', 'w', 't', 's', 'z', 'a', 'i', 'c', 'f']
x3/5 : ['h', 'y', 'p', 'x', 'm', 'g', 'q', 'd', 'r', 'e', 'k', 'l', 'o', 'b', 'u', 'v', 'n', 'j', 'w', 't', 's', 'z', 'a', 'i', 'c', 'f']
pb/d : ['h', 'y', 'p', 'x', 'm', 'g', 'q', 'b', 'r', 'e', 'k', 'l', 'o', 'd', 'u', 'v', 'n', 'j', 'w', 't', 's', 'z', 'a', 'i', 'c', 'f']
x4/12 : ['h', 'y', 'p', 'x', 'o', 'g', 'q', 'b', 'r', 'e', 'k', 'l', 'm', 'd', 'u', 'v', 'n', 'j', 'w', 't', 's', 'z', 'a', 'i', 'c', 'f']
s3 : ['i', 'c', 'f', 'h', 'y', 'p', 'x', 'o', 'g', 'q', 'b', 'r', 'e', 'k', 'l', 'm', 'd', 'u', 'v', 'n', 'j', 'w', 't', 's', 'z', 'a']
x9/6 : ['i', 'c', 'f', 'h', 'y', 'p', 'q', 'o', 'g', 'x', 'b', 'r', 'e', 'k', 'l', 'm', 'd', 'u', 'v', 'n', 'j', 'w', 't', 's', 'z', 'a']
pg/h : ['i', 'c', 'f', 'g', 'y', 'p', 'q', 'o', 'h', 'x', 'b', 'r', 'e', 'k', 'l', 'm', 'd', 'u', 'v', 'n', 'j', 'w', 't', 's', 'z', 'a']
x3/1 : ['i', 'g', 'f', 'c', 'y', 'p', 'q', 'o', 'h', 'x', 'b', 'r', 'e', 'k', 'l', 'm', 'd', 'u', 'v', 'n', 'j', 'w', 't', 's', 'z', 'a']
s5 : ['w', 't', 's', 'z', 'a', 'i', 'g', 'f', 'c', 'y', 'p', 'q', 'o', 'h', 'x', 'b', 'r', 'e', 'k', 'l', 'm', 'd', 'u', 'v', 'n', 'j']
x4/10 : ['w', 't', 's', 'z', 'p', 'i', 'g', 'f', 'c', 'y', 'a', 'q', 'o', 'h', 'x', 'b', 'r', 'e', 'k', 'l', 'm', 'd', 'u', 'v', 'n', 'j']
pm/f : ['w', 't', 's', 'z', 'p', 'i', 'g', 'm', 'c', 'y', 'a', 'q', 'o', 'h', 'x', 'b', 'r', 'e', 'k', 'l', 'f', 'd', 'u', 'v', 'n', 'j']
x12/2 : ['w', 't', 'o', 'z', 'p', 'i', 'g', 'm', 'c', 'y', 'a', 'q', 's', 'h', 'x', 'b', 'r', 'e', 'k', 'l', 'f', 'd', 'u', 'v', 'n', 'j']
s11 : ['b', 'r', 'e', 'k', 'l', 'f', 'd', 'u', 'v', 'n', 'j', 'w', 't', 'o', 'z', 'p', 'i', 'g', 'm', 'c', 'y', 'a', 'q', 's', 'h', 'x']
x15/13 : ['b', 'r', 'e', 'k', 'l', 'f', 'd', 'u', 'v', 'n', 'j', 'w', 't', 'p', 'z', 'o', 'i', 'g', 'm', 'c', 'y', 'a', 'q', 's', 'h', 'x']
pa/g : ['b', 'r', 'e', 'k', 'l', 'f', 'd', 'u', 'v', 'n', 'j', 'w', 't', 'p', 'z', 'o', 'i', 'a', 'm', 'c', 'y', 'g', 'q', 's', 'h', 'x']
x0/2 : ['e', 'r', 'b', 'k', 'l', 'f', 'd', 'u', 'v', 'n', 'j', 'w', 't', 'p', 'z', 'o', 'i', 'a', 'm', 'c', 'y', 'g', 'q', 's', 'h', 'x']
s13 : ['p', 'z', 'o', 'i', 'a', 'm', 'c', 'y', 'g', 'q', 's', 'h', 'x', 'e', 'r', 'b', 'k', 'l', 'f', 'd', 'u', 'v', 'n', 'j', 'w', 't']
pj/i : ['p', 'z', 'o', 'j', 'a', 'm', 'c', 'y', 'g', 'q', 's', 'h', 'x', 'e', 'r', 'b', 'k', 'l', 'f', 'd', 'u', 'v', 'n', 'i', 'w', 't']
s13 : ['e', 'r', 'b', 'k', 'l', 'f', 'd', 'u', 'v', 'n', 'i', 'w', 't', 'p', 'z', 'o', 'j', 'a', 'm', 'c', 'y', 'g', 'q', 's', 'h', 'x']
x6/10 : ['e', 'r', 'b', 'k', 'l', 'f', 'i', 'u', 'v', 'n', 'd', 'w', 't', 'p', 'z', 'o', 'j', 'a', 'm', 'c', 'y', 'g', 'q', 's', 'h', 'x']
pn/a : ['e', 'r', 'b', 'k', 'l', 'f', 'i', 'u', 'v', 'a', 'd', 'w', 't', 'p', 'z', 'o', 'j', 'n', 'm', 'c', 'y', 'g', 'q', 's', 'h', 'x']
x2/1 : ['e', 'b', 'r', 'k', 'l', 'f', 'i', 'u', 'v', 'a', 'd', 'w', 't', 'p', 'z', 'o', 'j', 'n', 'm', 'c', 'y', 'g', 'q', 's', 'h', 'x']
pm/f : ['e', 'b', 'r', 'k', 'l', 'm', 'i', 'u', 'v', 'a', 'd', 'w', 't', 'p', 'z', 'o', 'j', 'n', 'f', 'c', 'y', 'g', 'q', 's', 'h', 'x']
x10/12 : ['e', 'b', 'r', 'k', 'l', 'm', 'i', 'u', 'v', 'a', 't', 'w', 'd', 'p', 'z', 'o', 'j', 'n', 'f', 'c', 'y', 'g', 'q', 's', 'h', 'x']
s4 : ['q', 's', 'h', 'x', 'e', 'b', 'r', 'k', 'l', 'm', 'i', 'u', 'v', 'a', 't', 'w', 'd', 'p', 'z', 'o', 'j', 'n', 'f', 'c', 'y', 'g']
pi/c : ['q', 's', 'h', 'x', 'e', 'b', 'r', 'k', 'l', 'm', 'c', 'u', 'v', 'a', 't', 'w', 'd', 'p', 'z', 'o', 'j', 'n', 'f', 'i', 'y', 'g']
x14/13 : ['q', 's', 'h', 'x', 'e', 'b', 'r', 'k', 'l', 'm', 'c', 'u', 'v', 't', 'a', 'w', 'd', 'p', 'z', 'o', 'j', 'n', 'f', 'i', 'y', 'g']
s4 : ['f', 'i', 'y', 'g', 'q', 's', 'h', 'x', 'e', 'b', 'r', 'k', 'l', 'm', 'c', 'u', 'v', 't', 'a', 'w', 'd', 'p', 'z', 'o', 'j', 'n']
x15/0 : ['u', 'i', 'y', 'g', 'q', 's', 'h', 'x', 'e', 'b', 'r', 'k', 'l', 'm', 'c', 'f', 'v', 't', 'a', 'w', 'd', 'p', 'z', 'o', 'j', 'n']
s7 : ['w', 'd', 'p', 'z', 'o', 'j', 'n', 'u', 'i', 'y', 'g', 'q', 's', 'h', 'x', 'e', 'b', 'r', 'k', 'l', 'm', 'c', 'f', 'v', 't', 'a']
x14/8 : ['w', 'd', 'p', 'z', 'o', 'j', 'n', 'u', 'x', 'y', 'g', 'q', 's', 'h', 'i', 'e', 'b', 'r', 'k', 'l', 'm', 'c', 'f', 'v', 't', 'a']
s5 : ['c', 'f', 'v', 't', 'a', 'w', 'd', 'p', 'z', 'o', 'j', 'n', 'u', 'x', 'y', 'g', 'q', 's', 'h', 'i', 'e', 'b', 'r', 'k', 'l', 'm']
x5/2 : ['c', 'f', 'w', 't', 'a', 'v', 'd', 'p', 'z', 'o', 'j', 'n', 'u', 'x', 'y', 'g', 'q', 's', 'h', 'i', 'e', 'b', 'r', 'k', 'l', 'm']
pe/d : ['c', 'f', 'w', 't', 'a', 'v', 'e', 'p', 'z', 'o', 'j', 'n', 'u', 'x', 'y', 'g', 'q', 's', 'h', 'i', 'd', 'b', 'r', 'k', 'l', 'm']
x3/9 : ['c', 'f', 'w', 'o', 'a', 'v', 'e', 'p', 'z', 't', 'j', 'n', 'u', 'x', 'y', 'g', 'q', 's', 'h', 'i', 'd', 'b', 'r', 'k', 'l', 'm']
s14 : ['u', 'x', 'y', 'g', 'q', 's', 'h', 'i', 'd', 'b', 'r', 'k', 'l', 'm', 'c', 'f', 'w', 'o', 'a', 'v', 'e', 'p', 'z', 't', 'j', 'n']
x7/0 : ['i', 'x', 'y', 'g', 'q', 's', 'h', 'u', 'd', 'b', 'r', 'k', 'l', 'm', 'c', 'f', 'w', 'o', 'a', 'v', 'e', 'p', 'z', 't', 'j', 'n']
s10 : ['w', 'o', 'a', 'v', 'e', 'p', 'z', 't', 'j', 'n', 'i', 'x', 'y', 'g', 'q', 's', 'h', 'u', 'd', 'b', 'r', 'k', 'l', 'm', 'c', 'f']
x6/14 : ['w', 'o', 'a', 'v', 'e', 'p', 'q', 't', 'j', 'n', 'i', 'x', 'y', 'g', 'z', 's', 'h', 'u', 'd', 'b', 'r', 'k', 'l', 'm', 'c', 'f']
s8 : ['d', 'b', 'r', 'k', 'l', 'm', 'c', 'f', 'w', 'o', 'a', 'v', 'e', 'p', 'q', 't', 'j', 'n', 'i', 'x', 'y', 'g', 'z', 's', 'h', 'u']
x3/15 : ['d', 'b', 'r', 't', 'l', 'm', 'c', 'f', 'w', 'o', 'a', 'v', 'e', 'p', 'q', 'k', 'j', 'n', 'i', 'x', 'y', 'g', 'z', 's', 'h', 'u']
pn/j : ['d', 'b', 'r', 't', 'l', 'm', 'c', 'f', 'w', 'o', 'a', 'v', 'e', 'p', 'q', 'k', 'n', 'j', 'i', 'x', 'y', 'g', 'z', 's', 'h', 'u']
x2/1 : ['d', 'r', 'b', 't', 'l', 'm', 'c', 'f', 'w', 'o', 'a', 'v', 'e', 'p', 'q', 'k', 'n', 'j', 'i', 'x', 'y', 'g', 'z', 's', 'h', 'u']
pf/a : ['d', 'r', 'b', 't', 'l', 'm', 'c', 'a', 'w', 'o', 'f', 'v', 'e', 'p', 'q', 'k', 'n', 'j', 'i', 'x', 'y', 'g', 'z', 's', 'h', 'u']
x13/10 : ['d', 'r', 'b', 't', 'l', 'm', 'c', 'a', 'w', 'o', 'p', 'v', 'e', 'f', 'q', 'k', 'n', 'j', 'i', 'x', 'y', 'g', 'z', 's', 'h', 'u']
pe/m : ['d', 'r', 'b', 't', 'l', 'e', 'c', 'a', 'w', 'o', 'p', 'v', 'm', 'f', 'q', 'k', 'n', 'j', 'i', 'x', 'y', 'g', 'z', 's', 'h', 'u']
x8/0 : ['w', 'r', 'b', 't', 'l', 'e', 'c', 'a', 'd', 'o', 'p', 'v', 'm', 'f', 'q', 'k', 'n', 'j', 'i', 'x', 'y', 'g', 'z', 's', 'h', 'u']
s2 : ['h', 'u', 'w', 'r', 'b', 't', 'l', 'e', 'c', 'a', 'd', 'o', 'p', 'v', 'm', 'f', 'q', 'k', 'n', 'j', 'i', 'x', 'y', 'g', 'z', 's']
x4/7 : ['h', 'u', 'w', 'r', 'e', 't', 'l', 'b', 'c', 'a', 'd', 'o', 'p', 'v', 'm', 'f', 'q', 'k', 'n', 'j', 'i', 'x', 'y', 'g', 'z', 's']
pc/l : ['h', 'u', 'w', 'r', 'e', 't', 'c', 'b', 'l', 'a', 'd', 'o', 'p', 'v', 'm', 'f', 'q', 'k', 'n', 'j', 'i', 'x', 'y', 'g', 'z', 's']
s4 : ['y', 'g', 'z', 's', 'h', 'u', 'w', 'r', 'e', 't', 'c', 'b', 'l', 'a', 'd', 'o', 'p', 'v', 'm', 'f', 'q', 'k', 'n', 'j', 'i', 'x']
x2/0 : ['z', 'g', 'y', 's', 'h', 'u', 'w', 'r', 'e', 't', 'c', 'b', 'l', 'a', 'd', 'o', 'p', 'v', 'm', 'f', 'q', 'k', 'n', 'j', 'i', 'x']
